"","onset","terminus","vertex.id","onset.censored","terminus.censored","duration"
"187",2019.2,2021.3,195,FALSE,FALSE,26
"188",2018.2,2021.3,196,FALSE,FALSE,38
"189",2019.4,2021.3,197,FALSE,FALSE,21
"190",2018.2,2021.3,198,FALSE,FALSE,39
"191",2014.4,2021.3,199,FALSE,FALSE,81
"192",2015.3,2021.3,200,FALSE,FALSE,72
"193",2017.4,2021.3,201,FALSE,FALSE,45
"194",2017.3,2021.3,202,FALSE,FALSE,48
"195",2018.1,2021.3,203,FALSE,FALSE,41
"196",2017.2,2021.3,204,FALSE,FALSE,50
"197",2018.1,2021.3,205,FALSE,FALSE,41
"198",2016.2,2021.3,206,FALSE,FALSE,63
"199",2019.3,2021.3,207,FALSE,FALSE,24
"200",2020.3,2021.3,208,FALSE,FALSE,13
"201",2016.3,2021.3,209,FALSE,FALSE,60
"202",2018.1,2021.3,210,FALSE,FALSE,41
"203",2019.2,2021.3,211,FALSE,FALSE,26
"204",2020.3,2021.3,212,FALSE,FALSE,10
"205",2020.3,2021.3,213,FALSE,FALSE,13
"206",2016.4,2021.3,214,FALSE,FALSE,58
"207",2016.3,2021.3,215,FALSE,FALSE,58
"208",2020.3,2021.3,216,FALSE,FALSE,11
"209",2016.3,2021.3,217,FALSE,FALSE,58
"210",2018.3,2021.3,218,FALSE,FALSE,34
"211",2018.1,2021.3,219,FALSE,FALSE,40
"212",2010.2,2021.3,220,FALSE,FALSE,134
"213",2012.2,2021.3,221,FALSE,FALSE,111
"214",2005.2,2021.3,222,FALSE,FALSE,193
"215",2001.1,2021.3,223,FALSE,FALSE,246
"216",2013.3,2021.3,225,FALSE,FALSE,94
"217",2018.4,2021.3,226,FALSE,FALSE,33
"218",2008.2,2021.3,227,FALSE,FALSE,157
"219",2016.1,2021.3,228,FALSE,FALSE,65
"220",2014.4,2021.3,229,FALSE,FALSE,81
"221",2016.3,2021.3,231,FALSE,FALSE,59
"222",2020.4,2021.3,232,FALSE,FALSE,9
"223",2019.2,2021.3,233,FALSE,FALSE,25
"224",2008.2,2021.3,234,FALSE,FALSE,157
"225",2019.2,2021.3,235,FALSE,FALSE,26
"226",2020.3,2021.3,236,FALSE,FALSE,13
"227",2016.3,2021.3,237,FALSE,FALSE,59
"228",2017.2,2021.3,238,FALSE,FALSE,51
"229",2015.2,2021.3,239,FALSE,FALSE,74
"230",2020.4,2021.3,240,FALSE,FALSE,8
"231",2018.2,2021.3,241,FALSE,FALSE,40
"232",2017.2,2021.3,242,FALSE,FALSE,52
"233",1999.3,2021.3,243,FALSE,FALSE,262
"234",2005.1,2021.3,244,FALSE,FALSE,197
"235",2003.3,2021.3,245,FALSE,FALSE,216
"236",2019.1,2021.3,246,FALSE,FALSE,29
"237",2016.2,2021.3,247,FALSE,FALSE,64
"238",2017.1,2021.3,248,FALSE,FALSE,53
"239",2017.3,2021.3,249,FALSE,FALSE,49
"240",2020.2,2021.3,250,FALSE,FALSE,14
"241",2019.1,2021.3,251,FALSE,FALSE,29
"242",2016.2,2021.3,252,FALSE,FALSE,64
"243",2017.2,2021.3,253,FALSE,FALSE,49
"244",2016.3,2021.3,254,FALSE,FALSE,59
"245",2009.2,2021.3,255,FALSE,FALSE,146
"246",2013.2,2021.3,256,FALSE,FALSE,99
"247",2015.4,2021.3,257,FALSE,FALSE,69
"248",2013.4,2021.3,258,FALSE,FALSE,91
"249",2014.4,2021.3,259,FALSE,FALSE,79
"250",1995.3,2021.3,260,FALSE,FALSE,311
"251",2006.1,2021.3,261,FALSE,FALSE,184
"252",2015.3,2021.3,262,FALSE,FALSE,71
"253",2008.2,2021.3,264,FALSE,FALSE,159
"254",2015.1,2021.3,266,FALSE,FALSE,77
"255",2014.4,2021.3,267,FALSE,FALSE,82
"256",2014.1,2021.3,268,FALSE,FALSE,89
"257",2014.4,2021.3,269,FALSE,FALSE,81
"258",2015.2,2021.3,270,FALSE,FALSE,76
"259",2012.4,2021.3,271,FALSE,FALSE,104
"260",2014.1,2021.3,272,FALSE,FALSE,88
"261",2015.4,2021.3,273,FALSE,FALSE,69
"262",2016.2,2021.3,274,FALSE,FALSE,62
"263",2014.3,2021.3,275,FALSE,FALSE,82
"264",2015.2,2021.3,276,FALSE,FALSE,74
"265",1998.3,2021.3,277,FALSE,FALSE,274
"266",2018.4,2021.3,278,FALSE,FALSE,32
"267",2019.2,2021.3,279,FALSE,FALSE,25
"268",2018.3,2021.3,280,FALSE,FALSE,37
"269",2016.4,2021.3,281,FALSE,FALSE,56
"270",2019.4,2021.3,282,FALSE,FALSE,19
"271",2004.4,2021.3,283,FALSE,FALSE,199
"272",2007.1,2021.3,284,FALSE,FALSE,173
"273",2014.3,2021.3,285,FALSE,FALSE,83
"274",1988.4,2021.3,286,FALSE,FALSE,392
"275",2018.3,2021.3,287,FALSE,FALSE,35
"276",2005.2,2021.3,288,FALSE,FALSE,196
"277",2015.1,2021.3,289,FALSE,FALSE,77
"278",2014.3,2021.3,291,FALSE,FALSE,84
"279",2019.4,2021.3,292,FALSE,FALSE,22
"280",2020.3,2021.3,294,FALSE,FALSE,12
"281",2009.3,2021.3,296,FALSE,FALSE,142
"282",1998.3,2021.3,297,FALSE,FALSE,275
"283",2017.1,2021.3,298,FALSE,FALSE,53
"284",2018.2,2021.3,299,FALSE,FALSE,37
"285",2019.1,2021.3,300,FALSE,FALSE,28
"286",2020.3,2021.3,301,FALSE,FALSE,13
"287",2015.2,2021.3,302,FALSE,FALSE,74
"288",2017.2,2021.3,303,FALSE,FALSE,51
"289",2020.3,2021.3,305,FALSE,FALSE,12
"290",2021.1,2021.3,306,FALSE,FALSE,6
"291",2020.4,2021.3,307,FALSE,FALSE,8
"292",2019.2,2021.3,308,FALSE,FALSE,26
"293",2016.1,2021.3,309,FALSE,FALSE,64
"294",2020.2,2021.3,310,FALSE,FALSE,14
"295",2018.3,2021.3,311,FALSE,FALSE,36
"296",2009.2,2021.3,312,FALSE,FALSE,147
"297",2009.3,2021.3,313,FALSE,FALSE,144
"298",2012.4,2021.3,314,FALSE,FALSE,104
"299",2010.2,2021.3,316,FALSE,FALSE,133
"300",1993.4,2021.3,317,FALSE,FALSE,333
"301",2010.3,2021.3,318,FALSE,FALSE,132
"302",2009.4,2021.3,319,FALSE,FALSE,141
"303",1998.4,2021.3,320,FALSE,FALSE,271
"304",2006.4,2021.3,321,FALSE,FALSE,175
"305",2006.4,2021.3,322,FALSE,FALSE,176
"306",2010.4,2021.3,323,FALSE,FALSE,128
"307",2010.1,2021.3,324,FALSE,FALSE,137
"308",2012.1,2021.3,325,FALSE,FALSE,113
"309",2011.1,2021.3,326,FALSE,FALSE,126
"310",2002.2,2021.3,327,FALSE,FALSE,230
"311",2011.4,2021.3,328,FALSE,FALSE,115
"312",1964.1,2021.3,330,FALSE,FALSE,691
"313",1965.1,2021.3,331,FALSE,FALSE,679
"314",1963.1,2021.3,332,FALSE,FALSE,703
"315",1997.1,2021.3,333,FALSE,FALSE,294
"316",1988.2,2021.3,334,FALSE,FALSE,397
"317",2006.4,2021.3,335,FALSE,FALSE,177
"318",2009.1,2021.3,336,FALSE,FALSE,150
"319",2009.4,2021.3,338,FALSE,FALSE,141
"320",2009.4,2021.3,339,FALSE,FALSE,139
"321",2010.4,2021.3,340,FALSE,FALSE,128
"322",2010.4,2021.3,341,FALSE,FALSE,127
"323",2011.2,2021.3,342,FALSE,FALSE,123
"324",2011.4,2021.3,343,FALSE,FALSE,118
"325",2011.4,2021.3,345,FALSE,FALSE,115
"326",2012.1,2021.3,346,FALSE,FALSE,113
"327",2012.1,2021.3,347,FALSE,FALSE,113
"328",2008.4,2021.3,348,FALSE,FALSE,151
"329",2012.2,2021.3,349,FALSE,FALSE,109
"330",2013.1,2021.3,351,FALSE,FALSE,100
"331",2004.4,2021.3,352,FALSE,FALSE,199
"332",2005.2,2021.3,353,FALSE,FALSE,195
"333",2005.4,2021.3,354,FALSE,FALSE,188
"334",2009.1,2021.3,355,FALSE,FALSE,150
"335",2009.1,2021.3,356,FALSE,FALSE,148
"336",2009.1,2021.3,357,FALSE,FALSE,150
"337",2013.1,2021.3,358,FALSE,FALSE,100
"338",2013.3,2021.3,359,FALSE,FALSE,97
"339",2013.3,2021.3,360,FALSE,FALSE,95
"340",2013.3,2021.3,361,FALSE,FALSE,94
"341",2012.2,2021.3,362,FALSE,FALSE,112
"342",2013.4,2021.3,363,FALSE,FALSE,92
"343",2011.4,2021.3,364,FALSE,FALSE,116
"344",1996.2,2021.3,365,FALSE,FALSE,303
"345",2011.3,2021.3,366,FALSE,FALSE,121
"346",2012.3,2021.3,367,FALSE,FALSE,107
"347",2013.4,2021.3,368,FALSE,FALSE,92
"348",1919.4,2021.3,369,FALSE,FALSE,1221
"349",1964.1,2021.3,370,FALSE,FALSE,689
"350",2012.1,2021.3,371,FALSE,FALSE,114
"351",2013.1,2021.3,372,FALSE,FALSE,102
"352",2014.1,2021.3,373,FALSE,FALSE,90
"353",2007.2,2021.3,374,FALSE,FALSE,170
"354",2012.2,2021.3,375,FALSE,FALSE,110
"355",2013.2,2021.3,376,FALSE,FALSE,97
"356",2007.1,2021.3,377,FALSE,FALSE,173
"357",2009.3,2021.3,378,FALSE,FALSE,142
"358",2014.1,2021.3,379,FALSE,FALSE,88
"359",2014.1,2021.3,380,FALSE,FALSE,88
"360",2014.2,2021.3,383,FALSE,FALSE,86
"361",2015.1,2021.3,384,FALSE,FALSE,78
"362",2012.3,2021.3,385,FALSE,FALSE,109
"363",2015.2,2021.3,386,FALSE,FALSE,74
"364",2013.3,2021.3,387,FALSE,FALSE,96
"365",2013.4,2021.3,388,FALSE,FALSE,91
"366",2015.2,2021.3,389,FALSE,FALSE,73
"367",2015.4,2021.3,390,FALSE,FALSE,68
"368",2012.2,2021.3,391,FALSE,FALSE,110
"369",2012.3,2021.3,392,FALSE,FALSE,109
"370",2016.1,2021.3,393,FALSE,FALSE,65
"371",2011.4,2021.3,394,FALSE,FALSE,115
"372",2011.3,2021.3,395,FALSE,FALSE,119
"373",2016.2,2021.3,396,FALSE,FALSE,63
"374",2012.3,2021.3,397,FALSE,FALSE,108
"375",2013.2,2021.3,398,FALSE,FALSE,99
"376",2016.3,2021.3,399,FALSE,FALSE,59
"377",2014.1,2021.3,400,FALSE,FALSE,88
"378",2016.3,2021.3,401,FALSE,FALSE,61
"379",2017.2,2021.3,402,FALSE,FALSE,50
"380",2019.4,2021.3,405,FALSE,FALSE,19
"381",2020.1,2021.3,406,FALSE,FALSE,17
"382",2007.4,2021.3,407,FALSE,FALSE,165
"383",2010.3,2021.3,408,FALSE,FALSE,130
"384",2012.2,2021.3,409,FALSE,FALSE,109
"385",2019.4,2021.3,410,FALSE,FALSE,21
"386",2020.4,2021.3,412,FALSE,FALSE,10
"387",2017.4,2021.3,413,FALSE,FALSE,46
"388",2019.4,2021.3,414,FALSE,FALSE,21
"389",2019.3,2021.3,415,FALSE,FALSE,25
"390",2018.4,2021.3,416,FALSE,FALSE,32
"391",2010.3,2021.3,417,FALSE,FALSE,131
"392",2016.4,2021.3,418,FALSE,FALSE,57
"393",2020.3,2021.3,419,FALSE,FALSE,12
"394",2020.4,2021.3,421,FALSE,FALSE,9
"395",2021.1,2021.3,423,FALSE,FALSE,4
"396",2021.1,2021.3,426,FALSE,FALSE,4
"397",2021.2,2021.3,427,FALSE,FALSE,3
"398",2017.1,2021.3,428,FALSE,FALSE,53
"399",2021.2,2021.3,429,FALSE,FALSE,3
"400",2012.2,2021.3,430,FALSE,FALSE,110
"401",2020.3,2021.3,431,FALSE,FALSE,10
"402",2017.3,2021.3,432,FALSE,FALSE,47
"403",1967.4,2021.3,433,FALSE,FALSE,645
"404",2009.3,2021.3,434,FALSE,FALSE,143
"405",2008.2,2021.3,435,FALSE,FALSE,158
"406",2009.2,2021.3,436,FALSE,FALSE,147
"407",2009.2,2021.3,437,FALSE,FALSE,146
"408",2009.3,2021.3,438,FALSE,FALSE,142
"409",2010.1,2021.3,439,FALSE,FALSE,137
"410",2008.3,2021.3,440,FALSE,FALSE,154
"411",2009.4,2021.3,441,FALSE,FALSE,140
"412",2013.1,2021.3,442,FALSE,FALSE,100
"413",2009.1,2021.3,443,FALSE,FALSE,148
"414",2021.3,2021.3,444,FALSE,FALSE,1
